"Marca","Tamanho do Motor","Preço Médio BRL","Combustível","Idade"
"VW - VolksWagen",1,25558,"Gasoline",13
"Fiat",1.4,96262,"Gasoline",1
"Fiat",1.4,34199,"Gasoline",10
"GM - Chevrolet",2,23725,"Gasoline",17
"VW - VolksWagen",2,84635,"Gasoline",8
"VW - VolksWagen",1.8,18405,"Alcohol",19
"VW - VolksWagen",1,35406,"Gasoline",10
"GM - Chevrolet",2.2,23577,"Gasoline",25
"VW - VolksWagen",1.6,7723,"Gasoline",27
"VW - VolksWagen",1,68683,"Gasoline",4
"Mercedes-Benz",5,312734,"Gasoline",12
"Fiat",2.8,55232,"Diesel",15
"Mercedes-Benz",1.6,149008,"Gasoline",5
"Mercedes-Benz",1.6,97233,"Gasoline",7
"GM - Chevrolet",5.7,118251,"Gasoline",17
"GM - Chevrolet",2.2,17122,"Gasoline",23
"GM - Chevrolet",1.4,28317,"Gasoline",12
"VW - VolksWagen",1.8,14351,"Gasoline",31
"Mercedes-Benz",2,140996,"Gasoline",9
"GM - Chevrolet",1,11914,"Gasoline",21
"GM - Chevrolet",4.2,73632,"Diesel",24
"VW - VolksWagen",1,91952,"Gasoline",4
"Fiat",1,41797,"Gasoline",7
"VW - VolksWagen",1.8,15071,"Alcohol",28
"Ford",1,16999,"Gasoline",18
"GM - Chevrolet",2.8,62997,"Diesel",18
"Ford",2,6250,"Gasoline",32
"Ford",2.4,53180,"Diesel",14
"Ford",1.6,42483,"Gasoline",9
"VW - VolksWagen",1.8,82923,"Gasoline",16
"Fiat",1.8,10490,"Gasoline",20
"GM - Chevrolet",1.8,15171,"Alcohol",21
"Mercedes-Benz",3.5,194010,"Gasoline",12
"GM - Chevrolet",1,10087,"Gasoline",25
"VW - VolksWagen",2,98251,"Gasoline",10
"Ford",3,19374,"Gasoline",27
"Ford",1.5,68020,"Gasoline",2
"Fiat",1.6,64139,"Gasoline",7
"Fiat",1.4,69371,"Gasoline",8
"Fiat",1.4,54965,"Gasoline",8
"VW - VolksWagen",1.8,18700,"Gasoline",22
"Ford",3.9,111423,"Diesel",14
"Ford",2.8,60301,"Diesel",18
"VW - VolksWagen",2,51230,"Gasoline",12
"Fiat",1,25208,"Gasoline",10
"Ford",1.5,78146,"Gasoline",4
